loc
"(37.76759, -122.50266)"
"(37.76751, -122.50303)"
"(37.77103, -122.49892)"
"(37.77175, -122.49715)"
"(37.77176, -122.49704)"
"(37.77177, -122.49693)"
"(37.77034, -122.49385)"
"(37.7702, -122.49377)"
"(37.77003, -122.49535)"
"(37.7689, -122.49833)"
"(37.77062, -122.5077)"
"(37.76981, -122.46043)"
"(37.77209, -122.4543)"
"(37.77159, -122.45422)"
"(37.77186, -122.45424)"
"(37.77196, -122.45427)"
"(37.772, -122.45428)"
"(37.77205, -122.45429)"
"(37.77191, -122.45426)"
"(37.7718, -122.45424)"
"(37.77175, -122.45423)"
"(37.77169, -122.45422)"
"(37.77164, -122.45422)"
"(37.76924, -122.4519)"
"(37.76976, -122.45018)"
"(37.77187, -122.43184)"
"(37.77377, -122.41962)"
"(37.77028, -122.45367)"
"(37.71618, -122.44008)"
"(37.71587, -122.44014)"
"(37.75436, -122.47748)"
"(37.73199, -122.47413)"
"(37.74322, -122.47375)"
"(37.75484, -122.44654)"
"(37.76378, -122.39882)"
"(37.74664, -122.38772)"
"(37.74646, -122.38824)"
"(37.74107, -122.39874)"
"(37.73652, -122.38102)"
"(37.7639, -122.43372)"
"(37.74274, -122.48079)"
"(37.76674, -122.45786)"
"(37.7819, -122.40973)"
"(37.79145, -122.42238)"
"(37.78719, -122.42152)"
"(37.78438, -122.41952)"
"(37.78624, -122.41989)"
"(37.78717, -122.42008)"
"(37.78537, -122.41786)"
"(37.78957, -122.41703)"
"(37.77073, -122.41965)"
"(37.7709, -122.41959)"
"(37.77118, -122.41949)"
"(37.77212, -122.41809)"
"(37.77158, -122.42041)"
"(37.77274, -122.42142)"
"(37.77152, -122.42348)"
"(37.76887, -122.42238)"
"(37.77595, -122.43822)"
"(37.77984, -122.41671)"
"(37.77014, -122.40674)"
"(37.77645, -122.41146)"
"(37.77026, -122.40706)"
"(37.77863, -122.41448)"
"(37.77895, -122.41045)"
"(37.77627, -122.39823)"
"(37.77389, -122.44765)"
"(37.78245, -122.40756)"
"(37.78137, -122.39561)"
"(37.77574, -122.40307)"
"(37.77578, -122.40302)"
"(37.79673, -122.422)"
"(37.79725, -122.39829)"
"(37.80152, -122.40096)"
"(37.77189, -122.42373)"
"(37.80009, -122.41087)"
"(37.78527, -122.44009)"
"(37.78428, -122.43945)"
"(37.78283, -122.44216)"
"(37.78253, -122.44271)"
"(37.78451, -122.43961)"
"(37.78801, -122.44792)"
"(37.76358, -122.47843)"
"(37.76334, -122.48377)"
"(37.76354, -122.45738)"
"(37.76577, -122.44976)"
"(37.76952, -122.44968)"
"(37.74384, -122.45382)"
"(37.73374, -122.43401)"
"(37.7508, -122.41821)"
"(37.74764, -122.41867)"
"(37.75273, -122.41115)"
"(37.74409, -122.42109)"
"(37.74304, -122.42164)"
"(37.7697, -122.46409)"
"(37.72197, -122.4817)"
"(37.72195, -122.48126)"
"(37.72195, -122.48114)"
"(37.72193, -122.48066)"
"(37.72097, -122.47927)"
"(37.72092, -122.47765)"
"(37.72092, -122.47772)"
"(37.72568, -122.43416)"
"(37.72583, -122.43381)"
"(37.72092, -122.47781)"
"(37.72087, -122.47632)"
"(37.77666, -122.42422)"
"(37.78122, -122.40443)"
"(37.76598, -122.44253)"
"(37.77438, -122.41366)"
"(37.80128, -122.43305)"
"(37.80109, -122.4346)"
"(37.8034, -122.44346)"
"(37.759, -122.41371)"
"(37.76823, -122.40669)"
"(37.76612, -122.41328)"
"(37.80631, -122.42363)"
"(37.76832, -122.40753)"
"(37.80742, -122.41558)"
"(37.77938, -122.43198)"
"(37.75826, -122.42602)"
"(37.72439, -122.45898)"
"(37.79751, -122.40229)"
"(37.78602, -122.44014)"
"(37.79976, -122.43583)"
"(37.76492, -122.42654)"
"(37.76923, -122.43393)"
"(37.73495, -122.39049)"
"(37.8002, -122.43916)"
"(37.8002, -122.43922)"
"(37.80019, -122.43927)"
"(37.80019, -122.4393)"
"(37.80021, -122.43911)"
"(37.78898, -122.43475)"
"(37.78894, -122.43474)"
"(37.78, -122.4151)"
"(37.78334, -122.41592)"
"(37.76416, -122.41209)"
"(37.76657, -122.42229)"
"(37.76432, -122.41222)"
"(37.77615, -122.40566)"
"(37.80143, -122.40188)"
"(37.79074, -122.43442)"
"(37.72933, -122.50192)"
"(37.72981, -122.50218)"
"(37.73544, -122.50402)"
"(37.77629, -122.39257)"
"(37.78742, -122.44615)"
"(37.78185, -122.40953)"
"(37.72991, -122.50225)"
"(37.78245, -122.42386)"
"(37.77901, -122.4675)"
"(37.73069, -122.5012)"
"(37.73544, -122.50414)"
"(37.73528, -122.50419)"
"(37.74791, -122.4185)"
"(37.80269, -122.40596)"
"(37.78646, -122.47226)"
"(37.77972, -122.48991)"
"(37.71421, -122.46595)"
"(37.77877, -122.49209)"
"(37.74647, -122.44003)"
"(37.73528, -122.50391)"
"(37.73058, -122.50146)"
"(37.74666, -122.44005)"
"(37.77632, -122.41737)"
"(37.715, -122.43227)"
"(37.77765, -122.45345)"
"(37.75159, -122.43181)"
"(37.73053, -122.50158)"
"(37.73066, -122.50127)"
"(37.75853, -122.42155)"
"(37.75217, -122.41776)"
"(37.77954, -122.50375)"
"(37.77682, -122.45297)"
"(37.74392, -122.38493)"
"(37.76742, -122.40369)"
"(37.72944, -122.50197)"
"(37.78555, -122.38866)"
"(37.78558, -122.3887)"
"(37.7856, -122.38873)"
"(37.72356, -122.45392)"
"(37.79805, -122.3963)"
"(37.77169, -122.39842)"
"(37.76049, -122.38767)"
